deliberation,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
4/EVALUATED20230615-a1r-nc-session4-m_transcript.csv,3,5,2,0,2,1,2,0,4,1,0,1,5,5,16,26
4/EVALUATED20230615-a1r-nc-session4-e_transcript.csv,5,1,3,1,3,1,0,0,7,4,1,0,2,0,15,29
4/EVALUATED20230615-a1r-yc-session4-j_transcript.csv,6,3,5,1,6,2,1,0,6,0,2,0,4,2,22,43
4/EVALUATED20230604-a1r-nc-session4-q_transcript.csv,4,3,0,0,2,1,1,0,7,0,3,5,3,1,13,34
4/EVALUATED20230615-a1r-yc-session4-e_transcript.csv,4,2,2,0,1,1,0,0,4,3,0,2,0,2,7,15
4/EVALUATED20230615-a1r-nc-session4-j_transcript.csv,1,3,0,0,1,0,0,0,1,0,3,1,0,0,4,11
4/EVALUATED20230615-a1r-nc-session4-b_transcript.csv,1,0,1,0,1,0,0,0,1,0,0,0,1,2,1,5
4/EVALUATED20230615-a1r-yc-session4-m_transcript.csv,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,8
4/EVALUATED20230615-a1r-nc-session4-c_transcript.csv,11,9,2,0,2,0,0,0,2,1,1,0,4,2,22,33
4/EVALUATED20230615-a1r-yc-session4-l_transcript.csv,2,3,5,0,1,0,0,0,3,1,1,0,1,1,7,11
4/EVALUATED20230615-a1r-yc-session4-d_transcript.csv,4,2,0,0,2,0,1,0,8,5,3,2,4,0,13,25
4/EVALUATED20230615-a1r-nc-session4-k_transcript.csv,0,2,2,1,1,2,0,0,3,1,0,1,1,3,8,16
4/EVALUATED20230604-a1r-yc-session4-p_transcript.csv,4,6,2,2,4,2,0,0,2,0,2,0,2,2,11,20
4/EVALUATED20230615-a1r-nc-session4-d_transcript.csv,3,3,1,0,4,2,0,0,1,1,2,0,2,1,10,20
4/EVALUATED20230604-a1r-nc-session4-p_transcript.csv,3,3,1,0,4,1,0,0,1,0,1,1,2,2,9,27
4/EVALUATED20230615-a1r-yc-session4-k_transcript.csv,4,3,1,1,6,2,0,0,7,0,4,3,2,1,13,35
4/EVALUATED20230615-a1r-yc-session4-c_transcript.csv,1,1,1,0,3,0,0,0,1,1,2,3,2,2,10,19
4/EVALUATED20230615-a1r-nc-session4-l_transcript.csv,5,0,1,0,2,0,0,0,4,0,1,0,2,1,6,17
4/EVALUATED20230615-a1r-yc-session4-i_transcript.csv,5,1,5,2,4,0,0,0,3,0,6,2,0,2,15,38
4/EVALUATED20230615-a1r-nc-session4-f_transcript.csv,4,2,3,0,1,1,0,0,6,0,0,0,0,2,11,16
4/EVALUATED20230615-a1r-nc-session4-n_transcript.csv,9,5,1,0,1,0,0,0,3,2,2,0,5,3,10,28
4/EVALUATED20230615-a1r-yc-session4-a_transcript.csv,4,3,2,0,3,2,0,0,3,0,3,2,3,2,10,27
4/EVALUATED20230615-a1r-nc-session4-a_transcript.csv,1,1,1,0,0,1,1,0,5,0,2,0,1,2,7,22
4/EVALUATED20230615-a1r-nc-session4-i_transcript.csv,3,4,1,0,2,0,0,0,6,3,1,1,2,0,13,26
4/EVALUATED20230615-a1r-yc-session4-f_transcript.csv,5,2,5,1,3,2,0,0,11,3,7,3,3,3,15,46
4/EVALUATED20230615-a1r-nc-session4-h_transcript.csv,1,2,3,0,2,2,0,0,2,1,2,0,1,1,6,16
4/EVALUATED20230615-a1r-yc-session4-g_transcript.csv,3,2,3,0,2,1,0,0,6,0,1,1,5,2,11,33
4/EVALUATED20230615-a1r-nc-session4-o_transcript.csv,3,4,0,0,4,0,0,0,4,0,1,0,0,1,9,26
4/EVALUATED20230615-a1r-yc-session4-h_transcript.csv,3,2,4,2,2,0,1,0,5,3,3,1,3,2,9,22
4/EVALUATED20230615-a1r-nc-session4-g_transcript.csv,5,3,3,0,4,2,0,0,3,0,1,0,1,2,7,22
